"tseq","nc.a.1","nc.a.2","nc.a.3","nc.a.4","nc.a.5","nc.a.6","nc.a.7","nc.a.8","nc.a.9"
2015-06-01,287.399993896484,283.399963378906,279.774993896484,271.200012207031,264.625,254.524993896484,240.799987792969,225.675003051758,220.5
2015-06-02,286.799987792969,281.674987792969,276.625,269.625,264.25,255.75,244.699981689453,231.950012207031,223.774993896484
2015-06-03,284.349975585938,280.374969482422,275.274993896484,272.350006103516,265.225006103516,254.649978637695,244.649993896484,230.524978637695,220.174987792969
2015-06-04,286.200012207031,283.649993896484,278.024963378906,270.799987792969,263.625,255.174987792969,244.125,227.149993896484,217.924987792969
2015-06-05,289.899963378906,288.024993896484,282.274963378906,271.375,264.800018310547,256.824981689453,245.274993896484,228.399993896484,217.924987792969
2015-06-06,292.850006103516,289.875,283.299987792969,272,266.174987792969,256.975006103516,243.5,227.249969482422,222.599990844727
2015-06-07,293.524993896484,290.649963378906,284.174987792969,272.799987792969,265.825012207031,256.324951171875,244.25,228.949996948242,219.724990844727
2015-06-08,292.375,288.875,283.424987792969,272.075012207031,265.75,256.049987792969,244.174987792969,230.074996948242,224.350006103516
2015-06-09,289.25,285.174987792969,281.649993896484,271.274993896484,264.774963378906,256,244.674987792969,228.674987792969,226.75
2015-06-10,287.599975585938,283.424987792969,280.674987792969,269.174987792969,262.700012207031,253.899978637695,241.324981689453,226.299987792969,226.449981689453
2015-06-11,286.75,282.424987792969,278.925018310547,268.599975585938,261.799987792969,252.5,241.350006103516,228.425003051758,224.350006103516
2015-06-12,288.25,284.424987792969,280.574981689453,272.949981689453,264.600006103516,256.100006103516,245.124984741211,229.174987792969,221.25
2015-06-13,290.325012207031,286.600006103516,283.375,274.074981689453,266.049987792969,256.725006103516,243.875,229.324996948242,224.5
2015-06-14,285.224975585938,280.524993896484,277.024993896484,270.224975585938,263.849975585938,253.474990844727,240.675003051758,228.074996948242,230.599990844727
2015-06-15,282.749969482422,278,273.899993896484,266.75,260.325012207031,251.849990844727,238.75,224.249984741211,226.574996948242
2015-06-16,287.75,284.75,279.625,267.849975585938,259.649993896484,251.324981689453,238.299987792969,221.199981689453,220.549987792969
2015-06-17,286.699981689453,282.649993896484,277.574981689453,267.125,259.049987792969,249.899993896484,238.699981689453,224.149993896484,223.700012207031
2015-06-18,282.574981689453,279.474975585938,274.075012207031,265.749969482422,260.125,250.699981689453,239.599990844727,226.699996948242,222.149993896484
2015-06-19,287.699981689453,284.950012207031,279.424987792969,269.024993896484,262,253.425018310547,242.524978637695,226.024993896484,218.799987792969
2015-06-20,289.599975585938,286.474975585938,280.799987792969,270.75,262.824981689453,253.774978637695,242.924987792969,226.074981689453,218.125
2015-06-21,289.375,286.399993896484,280.924987792969,270.75,263.149993896484,253.774993896484,242.899993896484,226.299987792969,217.425003051758
2015-06-22,289.75,286.449981689453,280.399963378906,268.849975585938,262.049987792969,252.550003051758,239.924987792969,223.899993896484,221.974990844727
2015-06-23,286.899993896484,282.924987792969,277.850006103516,269.224975585938,262.450012207031,252.674987792969,239.549987792969,223.700012207031,220.799987792969
2015-06-24,290.199981689453,287.625,281.799987792969,271.624969482422,263.324981689453,253.749984741211,242.249969482422,225.050003051758,217.749984741211
2015-06-25,293.674987792969,291.5,286.474975585938,274.174987792969,266.024963378906,256.674987792969,243.524993896484,226.574981689453,217.524993896484
2015-06-26,295.274963378906,293.350006103516,286.474975585938,274.399993896484,266.199981689453,257.724975585938,245.100006103516,228.524993896484,218.875
2015-06-27,294.499969482422,292.174987792969,287.125,274.725006103516,267.399963378906,259.100006103516,246.824996948242,231.224990844727,221.125
2015-06-28,294.875,292.899993896484,287.374969482422,276.049987792969,269.399993896484,260.074981689453,248.099975585938,232.999969482422,222.974990844727
2015-06-29,293.599975585938,290.274993896484,285.600006103516,275.399963378906,267.299987792969,257.925018310547,246.474990844727,231.899993896484,222.599990844727
2015-06-30,291.100036621094,288.399993896484,283.724975585938,273.350006103516,267.149993896484,258.574981689453,246.874984741211,234.074996948242,225.699981689453
2015-07-01,291.649993896484,289.149963378906,286.149993896484,275.425018310547,269.349975585938,259.224975585938,247.724990844727,231.725006103516,221.599990844727
2015-07-02,294.474975585938,291.100006103516,285.825012207031,276.049987792969,268.674987792969,258.449951171875,247,231.375,221.599990844727
2015-07-03,293.849975585938,290.924987792969,286.449981689453,275.775024414062,268.024993896484,258.399963378906,247.849990844727,232.925003051758,222.774993896484
2015-07-04,296.474975585938,293.125,289.099975585938,278.075012207031,268.524993896484,259,248.274993896484,233.824981689453,223.924987792969
2015-07-05,289.725006103516,285.700012207031,281.175018310547,271.700012207031,264.875,254.449981689453,242.024993896484,230.024993896484,228.349990844727
2015-07-06,284.399993896484,280.099975585938,275.799987792969,268.899993896484,262.574981689453,253.899993896484,241.549987792969,226.374984741211,224.224990844727
2015-07-07,290.875,288.099975585938,282.924987792969,271.125,263.399963378906,254.149978637695,242.149993896484,224.374984741211,218.725006103516
2015-07-08,287.325012207031,283.575012207031,277.874969482422,268.424987792969,262.450012207031,252.549987792969,241.225006103516,226.499984741211,224.050003051758
2015-07-09,292.875,289.824951171875,285.174987792969,275.124969482422,267.849975585938,259.375,248.725006103516,233.299987792969,223.575012207031
2015-07-10,295.825012207031,291.625,286.425018310547,277.950012207031,270.5,261.625,250.450012207031,236.425003051758,225.950012207031
2015-07-11,296.324981689453,293.049987792969,288.274993896484,279.100006103516,271.799987792969,261.574981689453,250.450012207031,234.774993896484,224.975006103516
2015-07-12,297.224975585938,294.549987792969,289.924987792969,280.549987792969,272.899993896484,262.799987792969,250.724975585938,236.5,226.75
2015-07-13,294.999969482422,291.5,287.424987792969,279.25,272.175018310547,264.450012207031,253.125,237.724990844727,227.824981689453
2015-07-14,290.349975585938,285.899993896484,283.800018310547,278.199981689453,270.474975585938,262.699981689453,252.524978637695,238.100006103516,227.424987792969
2015-07-15,291.224975585938,287.799987792969,284.25,277.424987792969,269.199981689453,261.699981689453,250.574981689453,234.699996948242,224.649993896484
2015-07-16,295,292.949951171875,287.450012207031,276.599975585938,268.75,261.349975585938,248.774978637695,232.024993896484,221.25
2015-07-17,295.524963378906,292.5,288.399993896484,276.875,268.5,260.899993896484,248.600006103516,232.624984741211,222.25
2015-07-18,291.699981689453,287.799987792969,284.625,274.200012207031,266.474975585938,258.625,246.524993896484,229.249984741211,223.124984741211
2015-07-19,290.924987792969,286.125,281.399993896484,272.924987792969,267.624969482422,257.799987792969,246.149993896484,230.074996948242,225.274993896484
2015-07-20,289.149963378906,284.799987792969,280.125,272.149993896484,265.799987792969,257.899963378906,245.599975585938,228.599975585938,223.375
2015-07-21,291.174987792969,287.074981689453,279.875,273.574981689453,267.474975585938,258.724975585938,246.724990844727,231.724990844727,223.199996948242
2015-07-22,294.875,290.974975585938,286.274993896484,276.274993896484,269.449981689453,261.25,249.599975585938,234.050003051758,223.549987792969
2015-07-23,296.25,292.649963378906,289.450012207031,279.075012207031,269.674987792969,259.574981689453,249.174987792969,233.924987792969,224.274993896484
2015-07-24,296.024963378906,292,285.549987792969,274.399993896484,267.5,258.625,247.04997253418,230.925003051758,224.074981689453
2015-07-25,295.100006103516,291.25,284.075012207031,273.875,267.274993896484,258.249969482422,245.975006103516,230.899993896484,223.074996948242
2015-07-26,296.700012207031,293.849975585938,288.724975585938,276.599975585938,268.525024414062,259.724975585938,248.574981689453,233.424987792969,222.324996948242
2015-07-27,296.349975585938,292.224975585938,287.424987792969,275.949981689453,268.75,260.774993896484,248.875,232.199996948242,223.674987792969
2015-07-28,294.799987792969,291.400024414062,286.75,277.424987792969,270.199981689453,261.450012207031,251.849975585938,237.17497253418,227.174987792969
2015-07-29,293.674987792969,289.499969482422,284.699981689453,276.049987792969,269.624969482422,261.324981689453,251.524993896484,237.725006103516,226.699996948242
2015-07-30,292.599975585938,288.974975585938,283.274993896484,272.75,266.600006103516,258.199981689453,245.925003051758,229.399993896484,220.674987792969
2015-07-31,290.674987792969,286.825012207031,280.75,271.350006103516,265.375,256.199981689453,242.599975585938,226.949981689453,220.524993896484
2015-08-01,291.149963378906,287.799987792969,281.399993896484,270.850006103516,264.200012207031,256.049987792969,244.350006103516,229.024993896484,222.449981689453
2015-08-02,289.049987792969,284.5,278.825012207031,272.149993896484,265.599975585938,256.649993896484,244.474990844727,228.475006103516,222.724990844727
2015-08-03,289.975006103516,284.849975585938,279.774993896484,273.624969482422,267.149993896484,258.325012207031,245.974975585938,228.724990844727,220.550003051758
2015-08-04,289.25,284.249969482422,278.849975585938,274.350006103516,267.424987792969,259.149963378906,247.724990844727,230.650009155273,221.924987792969
2015-08-05,289.799987792969,284.974975585938,281.350006103516,274.375,268.350006103516,260.525024414062,249.324981689453,234.699996948242,225.024993896484
2015-08-06,288.75,283.899963378906,280.599975585938,274.799987792969,269.75,261.149993896484,249.175003051758,233.574996948242,223.049987792969
2015-08-07,290.149963378906,285.674987792969,281.649993896484,274.699981689453,269.424987792969,260.399993896484,248.974975585938,233.999984741211,224.924987792969
2015-08-08,290.524993896484,285.825012207031,282.199981689453,273.399993896484,267.274993896484,259.75,247.299987792969,230.174987792969,223.374984741211
2015-08-09,291.725006103516,287.649993896484,282.224975585938,273.675018310547,267.575012207031,259.224975585938,247.049987792969,229.824996948242,220.699981689453
2015-08-10,293.25,289.674987792969,284.649993896484,274.599975585938,267.674987792969,258.474975585938,246.999984741211,230.524993896484,221
2015-08-11,295.625,293.700012207031,289.100006103516,278.325012207031,270.125,260.5,249.024993896484,232.899993896484,221.924987792969
2015-08-12,299.024963378906,297.899993896484,291.399993896484,278.75,269.824981689453,259.974975585938,249.124969482422,233.024993896484,222.399993896484
2015-08-13,296.75,294.474975585938,288.924987792969,276.924987792969,270.5,261.875,249.399993896484,233.625,225.149993896484
2015-08-14,296.875,294.975006103516,290.924987792969,278.725006103516,268.825012207031,260.200012207031,249.724975585938,234.25,223.274978637695
2015-08-15,294.799987792969,291.199981689453,287.799987792969,278.350006103516,270.299987792969,261.850006103516,251.599975585938,236.299987792969,224.550003051758
2015-08-16,288.074981689453,283.349975585938,280.25,272.274993896484,265.399993896484,258.024993896484,248.42497253418,232.699996948242,225.100006103516
2015-08-17,285.5,282.474975585938,277.5,268.024993896484,260.375,251.549987792969,239.924987792969,225.549987792969,220.699981689453
2015-08-18,288.974975585938,286.625,281.474975585938,270.350006103516,262.399963378906,252.124984741211,240.549987792969,225.550003051758,216.599990844727
2015-08-19,289.774993896484,287.024963378906,281.125,269.899993896484,264.449981689453,254.125,243.974990844727,230.624984741211,223.549987792969
2015-08-20,291.424987792969,289,283.149993896484,271.225006103516,265.349975585938,257.649993896484,248.399993896484,232.399993896484,222.875
